x,y,theta
6.7398,-12.0775,0.3574
6.7675,-12.0640,0.3929
6.7914,-12.0541,0.3922
6.8144,-12.0377,0.3966
6.8373,-12.0250,0.4032
6.8620,-12.0140,0.4515
6.8993,-12.0032,0.4652
6.9268,-11.9916,0.4772
6.9500,-11.9795,0.5032
6.9628,-11.9606,0.5253
6.9854,-11.9473,0.5659
7.0074,-11.9324,0.6083
7.0286,-11.9209,0.6138
7.0498,-11.9059,0.6449
7.0697,-11.8902,0.6737
7.0894,-11.8745,0.6778
7.1098,-11.8580,0.7076
7.1212,-11.8415,0.7510
7.1370,-11.8247,0.7521
7.1553,-11.8079,0.7552
7.1752,-11.7927,0.7424
7.1935,-11.7730,0.7667
7.2120,-11.7554,0.7686
7.2286,-11.7396,0.7787
7.2472,-11.7213,0.8045
7.2648,-11.7022,0.8292
7.2813,-11.6832,0.8556
7.2975,-11.6644,0.8628
7.3142,-11.6297,0.9040
7.3299,-11.6044,0.9035
7.3453,-11.5847,0.9111
7.3685,-11.5643,0.9474
7.3832,-11.5433,0.9607
7.3976,-11.5229,0.9619
7.4125,-11.5012,0.9922
7.4261,-11.4797,1.0163
7.4356,-11.4585,1.0149
7.4429,-11.4370,1.0169
7.4562,-11.4154,1.0314
7.4764,-11.3936,1.0884
7.4902,-11.3701,1.0940
7.5019,-11.3471,1.1338
7.5022,-11.3138,1.1573
7.5125,-11.2905,1.1634
7.5226,-11.2668,1.2036
7.5415,-11.2429,1.2144
7.5503,-11.2193,1.2196
7.5587,-11.1960,1.2271
7.5551,-11.1763,1.2260
7.5610,-11.1500,1.2774
7.5686,-11.1254,1.2808
7.5677,-11.1021,1.2849
7.5729,-11.0757,1.3330
7.5791,-11.0510,1.3304
7.5953,-11.0266,1.3266
7.6012,-11.0005,1.3901
7.6050,-10.9751,1.4518
7.6087,-10.9458,1.5051
7.6033,-10.9060,1.4870
7.6031,-10.8764,1.4876
7.6051,-10.8520,1.4949
7.6079,-10.8150,1.5056
7.6096,-10.7890,1.5303
7.6104,-10.7630,1.5406
7.6013,-10.7247,1.5648
7.6007,-10.6981,1.6278
7.5999,-10.6731,1.6344
7.5968,-10.6245,1.6584
7.6005,-10.6038,1.7080
7.5970,-10.5789,1.7283
7.5867,-10.5493,1.7544
7.5804,-10.5209,1.7613
7.5757,-10.4962,1.7633
7.5625,-10.4715,1.7694
7.5558,-10.4467,1.7860
7.5490,-10.4201,1.8643
7.5446,-10.3929,1.9981
7.5346,-10.3705,2.0012
7.5252,-10.3399,1.9797
7.5151,-10.3147,1.9814
7.5004,-10.2810,1.9921
7.4716,-10.2681,2.0055
7.4598,-10.2465,2.0117
7.4492,-10.2242,2.0175
7.4384,-10.2015,2.0254
7.4276,-10.1794,2.0342
7.4253,-10.1570,2.0353
7.4154,-10.1348,2.0413
7.4041,-10.1126,2.0478
7.3924,-10.0900,2.0553
7.3807,-10.0681,2.0613
7.3691,-10.0464,2.0652
7.3481,-10.0241,2.0740
7.3335,-10.0004,2.0995
7.3206,-9.9784,2.1018
7.3167,-9.9566,2.1074
7.3045,-9.9345,2.1186
7.2891,-9.9106,2.1794
7.2740,-9.8903,2.2162
7.2586,-9.8699,2.2234
7.2421,-9.8490,2.2781
