x,y,theta
-4.5445,-1.0886,-2.0796
-4.5561,-1.1222,-2.0323
-4.5661,-1.1426,-1.9916
-4.5810,-1.1786,-1.9272
-4.5894,-1.2027,-1.8899
-4.6009,-1.2384,-1.8811
-4.6099,-1.2620,-1.9077
-4.6221,-1.2973,-1.8987
-4.6303,-1.3213,-1.8941
-4.6412,-1.3541,-1.8925
-4.6493,-1.3785,-1.8894
-4.6564,-1.4006,-1.8818
-4.6647,-1.4157,-1.8859
-4.6766,-1.4525,-1.8801
-4.6842,-1.4764,-1.8765
-4.6958,-1.5140,-1.8652
-4.7033,-1.5402,-1.8330
-4.7001,-1.6002,-1.7299
-4.7037,-1.6267,-1.6881
-4.7071,-1.6663,-1.6205
-4.7075,-1.6878,-1.5855
-4.7077,-1.7151,-1.5587
-4.7068,-1.7401,-1.4975
-4.7016,-1.7796,-1.4084
-4.6970,-1.8057,-1.3656
-4.6880,-1.8444,-1.3012
-4.6805,-1.8697,-1.2556
-4.6674,-1.9072,-1.1922
-4.6575,-1.9518,-1.1592
-4.6408,-1.9877,-1.0902
-4.6282,-2.0110,-1.0437
-4.6075,-2.0444,-0.9740
-4.5921,-2.0660,-0.9248
-4.5676,-2.0964,-0.8515
-4.5494,-2.0954,-0.7866
-4.5204,-2.1225,-0.7103
-4.5001,-2.1393,-0.6617
-4.4685,-2.1622,-0.5849
-4.4466,-2.1760,-0.5309
-4.4121,-2.1949,-0.4570
-4.3880,-2.2265,-0.4142
-4.3640,-2.2367,-0.3673
-4.3391,-2.2459,-0.3196
-4.3141,-2.2536,-0.2704
-4.2889,-2.2601,-0.2155
-4.2660,-2.2646,-0.1713
-4.3046,-2.2692,-0.1871
-4.2580,-2.2748,-0.2542
-4.2364,-2.2805,-0.2544
-4.2119,-2.2869,-0.2539
-4.1755,-2.2964,-0.2577
-4.1251,-2.2916,-0.2601
-4.1026,-2.2973,-0.2658
-4.0815,-2.3031,-0.2662
-4.0443,-2.3131,-0.2637
-4.0191,-2.3198,-0.2603
-3.9810,-2.3191,-0.2279
-3.9549,-2.3247,-0.1893
-3.9153,-2.3313,-0.1345
-3.8892,-2.3344,-0.0959
-3.8511,-2.3369,-0.0394
-3.8301,-2.3373,-0.0333
-3.8263,-2.3387,-0.0320
-3.7933,-2.3399,-0.0319
-3.7580,-2.3314,-0.0499
-3.7204,-2.3332,-0.0482
-3.6930,-2.3344,-0.0498
-3.6663,-2.3358,-0.0550
-3.6415,-2.3373,-0.0572
-3.6048,-2.3486,-0.0513
-3.5791,-2.3498,-0.0512
-3.5415,-2.3517,-0.0479
-3.5164,-2.3529,-0.0478
-3.4785,-2.3546,-0.0488
-3.4431,-2.3458,-0.0493
-3.4050,-2.3477,-0.0494
-3.3797,-2.3490,-0.0506
-3.3410,-2.3511,-0.0531
-3.3152,-2.3523,-0.0526
-3.2766,-2.3544,-0.0507
-3.2410,-2.3454,-0.0475
-3.2021,-2.3474,-0.0472
-3.1762,-2.3487,-0.0471
-3.1370,-2.3506,-0.0455
-3.1112,-2.3519,-0.0473
-3.0721,-2.3543,-0.0558
-3.0461,-2.3558,-0.0564
-3.0072,-2.3580,-0.0588
-2.9811,-2.3596,-0.0599
-2.9417,-2.3619,-0.0592
-2.9157,-2.3634,-0.0587
-2.8766,-2.3653,-0.0535
-2.8506,-2.3668,-0.0536
-2.8114,-2.3688,-0.0540
-2.7853,-2.3703,-0.0551
-2.7458,-2.3725,-0.0557
-2.7197,-2.3740,-0.0572
-2.6705,-2.3761,-0.0569
-2.6441,-2.3776,-0.0577
-2.6051,-2.3799,-0.0597
-2.5791,-2.3815,-0.0595
-2.5396,-2.3839,-0.0614
-2.5134,-2.3756,-0.0630
-2.4743,-2.3780,-0.0629
-2.4482,-2.3796,-0.0638
-2.4087,-2.3822,-0.0652
-2.3826,-2.3840,-0.0645
-2.3436,-2.3865,-0.0655
-2.2980,-2.3923,-0.0598
-2.2585,-2.3947,-0.0599
-2.2322,-2.3964,-0.0614
-2.1930,-2.3987,-0.0615
-2.1724,-2.3999,-0.0616
